freq,unit,hhtyp,geo\TIME_PERIOD	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HH,A1_DCH,RO	: 	: 	: 	: 	15.11 	14.23 	22.83 	28.68 	47.97 	54.88 	64.93 u	66.02 u	82.54 bu	66.01 	72.60 	89.21 u	85.82 u	88.41 u	89.42 	98.41 u	100.00 u	97.26 	98.57 
A,PC_HH,A1_DCH,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87.59 u	: 	77.27 u	86.92 u	97.18 u	: u	91.77 u	: u	: u	: u
A,PC_HH,A1_DCH,SE	: 	: 	: 	69.05 	84.67 	76.42 	88.98 	88.86 	93.92 	97.00 u	100.00 u	: u	94.30 u	100.00 u	100.00 bu	: u	: u	95.07 u	96.46 	100.00 u	100.00 u	95.34 u	92.37 
A,PC_HH,A1_DCH,SI	: 	: 	: u	: u	48.45 	44.02 	87.71 	66.56 	91.74 	74.64 u	97.02 u	95.47 u	: u	: u	: u	: u	97.12 u	: u	: u	96.49 u	100.00 u	95.82 u	100.00 u
A,PC_HH,A1_DCH,SK	: 	: 	18.57 	21.06 	20.24 	42.99 	65.32 	70.39 	78.12 	69.39 	85.41 	88.18 	89.25 u	91.11 u	94.95 u	95.78 u	88.36 u	91.99 u	87.48 u	94.37 	97.02 	98.99 	100.00 
A,PC_HH,A1_DCH,TR	: 	: 	4.70 	: 	: 	28.46 	23.15 	26.96 	41.90 	: 	40.53 	56.21 	: 	: 	: 	: 	: 	: 	95.91 	97.32 	98.11 	99.42 	99.71 
A,PC_HH,A1_DCH,UK	40.71 	43.15 	49.27 	45.39 	48.07 	58.58 	70.19 	78.10 	79.24 	85.30 	83.81 	89.33 	90.49 	94.86 	98.60 	97.28 	99.44 	100.00 	100.00 	: 	: 	: 	: 
A,PC_HH,A1_DCH,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: 	: 	: 	: 
A,PC_HH,A2,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60.02 	: 	71.38 	76.54 	95.06 	92.36 	: 
A,PC_HH,A2,AT	24.62 	30.20 	38.21 	38.41 	44.57 	52.92 	60.87 	61.60 	66.27 	69.29 	71.61 	74.13 	75.84 	78.63 	84.14 	85.31 	89.05 	87.86 	89.96 	94.82 	92.05 	94.83 	93.90 
A,PC_HH,A2,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56.12 	62.03 	59.26 	63.63 	: 	71.52 	77.40 
A,PC_HH,A2,BE	: 	: 	: 	39.70 	46.75 	53.50 	57.98 	65.10 	70.29 	76.57 	76.46 	78.05 	82.33 	81.06 	85.56 	85.28 	86.58 	90.94 	92.59 	93.79 	95.84 	96.38 	93.27 
A,PC_HH,A2,BG	: 	: 	3.94 	: 	: 	11.97 	15.36 	18.83 	22.99 	33.51 	37.32 	40.88 	41.37 	47.06 	53.03 	56.30 	64.17 	69.32 	77.69 	78.15 	86.93 	88.96 	90.48 
A,PC_HH,A2,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91.87 	: 	: 	93.11 b	: 	95.98 	: 	98.93 	: 	99.79 	: 
A,PC_HH,A2,CY	: 	: 	47.25 	10.24 	13.52 	18.64 	19.97 	28.01 	28.54 	26.00 	42.84 	41.97 	44.03 	54.98 	56.60 	66.47 	72.33 	83.54 	84.64 	89.43 	89.37 	87.98 	93.03 
A,PC_HH,A2,CZ	: 	: 	11.32 	9.86 	17.86 	24.96 	32.29 	39.85 	44.01 	49.14 	59.88 	59.99 	69.29 	69.67 	71.81 	76.69 	79.12 	80.61 	82.75 	85.41 	86.99 	88.62 	92.19 
A,PC_HH,A2,DE	38.63 	48.39 	53.51 	56.72 	64.47 	67.53 	73.96 	78.62 	81.82 	82.93 	86.40 	88.25 	90.28 	91.71 	94.07 	94.66 	95.32 	96.12 	97.33 	91.81 b	92.55 	92.27 	94.51 
A,PC_HH,A2,DK	59.12 	64.28 	68.51 	75.65 	78.96 	80.31 	81.43 	82.34 	87.42 	90.94 	93.96 	95.63 	94.90 	94.33 	96.34 	98.27 	96.16 	96.74 	97.53 	98.00 	98.56 	98.48 	98.63 
A,PC_HH,A2,EA	28.05 	33.85 	37.41 	43.09 	44.84 	49.38 	56.21 	60.14 	64.72 	68.12 	70.96 	74.25 	76.91 	78.96 	82.30 	83.88 	86.61 	88.65 	91.07 e	91.53 b	91.79 	92.53 	93.74 
A,PC_HH,A2,EE	: 	: 	21.80 	27.68 	31.84 	37.51 	41.83 	51.53 	60.56 	64.52 	69.21 	75.97 	82.11 b	85.21 	86.79 	86.87 	92.09 	89.63 	91.25 	93.45 	93.66 	94.16 	95.01 
A,PC_HH,A2,EL	6.60 	7.37 	7.52 	13.01 	12.09 	12.27 	15.88 	18.49 	23.51 	26.79 	25.53 	33.82 	46.01 	48.10 	54.45 	54.41 	62.43 	65.75 	68.77 	73.33 	75.29 	79.29 	79.06 
A,PC_HH,A2,ES	: 	: 	: 	22.32 	23.59 	28.71 	35.89 	38.54 	44.14 	48.04 	53.29 	57.91 	63.10 	67.97 	72.33 	74.32 	77.78 	85.51 	93.54 	93.57 	93.38 	93.85 	94.26 
A,PC_HH,A2,EU15	32.80 	38.51 	40.99 	47.99 	49.35 	54.16 	60.40 	64.55 	68.48 	71.59 	75.01 	77.58 	80.73 	82.35 	85.46 	86.59 	88.91 	: 	: 	: 	: 	: 	: 
A,PC_HH,A2,EU25	: 	: 	36.95 	43.56 	46.04 	50.79 	57.18 	61.82 	65.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_HH,A2,EU27_2007	: 	: 	36.31 	43.56 	44.96 	48.98 	55.25 	59.95 	64.03 	67.60 	71.37 	73.79 	77.09 	78.96 	82.48 	83.99 	86.68 	: 	: 	: 	: 	: 	: 
A,PC_HH,A2,EU27_2020	: 	: 	: 	: 	: 	45.34 	52.02 	56.61 	61.13 	65.10 	68.36 	71.23 	74.04 	76.40 	80.14 	81.98 	85.02 	87.21 	90.01 e	90.79 b	91.47 	92.46 	93.91 
A,PC_HH,A2,EU28	: 	: 	: 	: 	: 	48.83 	55.11 	59.80 	63.86 	67.44 	71.22 	73.61 	76.92 	78.83 	82.32 	83.83 	86.54 	88.48 	: 	: 	: 	: 	: 
A,PC_HH,A2,FI	41.08 	45.98 	49.40 	53.89 	62.12 	67.87 	74.38 	80.64 	82.99 	86.22 	88.03 	92.13 	93.12 	92.57 	95.12 	95.80 	96.21 	95.53 	98.03 	97.89 	98.49 	97.88 	98.48 
A,PC_HH,A2,FR	21.95 	23.81 	27.46 	: 	34.30 	46.89 	57.75 	62.35 	67.71 	73.83 	76.66 	80.20 	81.99 	82.08 	85.45 	87.05 	89.23 	90.70 	: 	94.98 	93.85 	95.70 	96.07 
A,PC_HH,A2,HR	: 	: 	: 	: 	: 	23.48 	29.45 	34.44 	34.19 	38.33 	45.12 	47.25 	48.72 	52.55 	55.06 	56.20 	62.28 	66.37 	75.24 	76.80 	78.22 	84.54 	83.33 
A,PC_HH,A2,HU	: 	: 	7.82 	15.22 	24.41 	28.23 	35.01 	40.55 	47.73 	54.33 	59.04 	62.12 	67.77 	70.64 	74.08 	79.07 	80.11 	83.25 	85.87 	88.69 	92.38 	92.31 	93.25 
A,PC_HH,A2,IE	: 	28.37 	32.15 	38.95 	44.89 	49.41 	54.44 	59.23 	66.37 	71.96 	74.21 	78.35 	76.40 	80.47 	83.51 	84.76 	87.51 	89.26 	90.65 	98.69 b	: u	95.13 	94.19 
